article_hash;article_title;category;publish_date;article_body;raw_content;source_entity;article_link;generated_summary;negative_score;importance_score
73097c92ce68fc6e96917b26ea54bb00ae2cb96d992d0a12080391f16802f088;Detienen a 3 extranjeros por crimen en Iquique: víctima fue encontrada amarrada y flotando en el mar;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-tarapaca/2023/07/09/detienen-a-3-extranjeros-por-crimen-en-iquique-victima-fue-encontrada-amarrada-y-flotando-en-el-mar.shtml;;;
7e49e24e1c4dfcd5541d2f5ad77c7e3df890968f6df8c1c589558a2474a8d094;Muere el reconocido sacerdote Vicente Gottschalk en Osorno;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2023/07/09/muere-en-osorno-el-reconocido-sacerdote-vicente-gottschalk.shtml;;;
b18f68c26059e413135852770681092808484f9f7a2c858650262bb78d39a206;Cadem: 46% asocia crisis de fundaciones con Jackson y aprobación de Boric continúa bajo los 30 puntos;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/cadem-46-asocia-crisis-de-fundaciones-con-jackson-y-aprobacion-de-boric-continua-bajo-los-30-puntos.shtml;;;
ea7a77b88f852cfb8b44d1156f8d9813f3e96b0248227343a1980dbc1a806062;Adulto mayor muere durante incendio que afectó una vivienda en Lota;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/07/09/hombre-de-62-anos-fallece-durante-incendio-que-afecto-una-residencia-en-la-comuna-de-lota.shtml;;;
e0f3bcb23fcd6b21bbe01e1c9178991309e4800b675e63cf024c25b54977cbdb;Vandalismo en monumento de Osorno es denunciado por vecinos: plasmaron colores de Colo-Colo;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2023/07/09/vandalismo-en-monumento-de-osorno-es-denunciado-por-vecinos-plasmaron-colores-de-colo-colo.shtml;;;
dc607e6c723d35bb01edbe95f2b511945f059ef7fbf31aff36f58447b1e4f69f;Oposición critica decisión de Gobierno de no quitar personalidad jurídica a Fundación Democracia Viva;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/oposicion-critica-decision-de-gobierno-de-no-quitar-personalidad-juridica-a-fundacion-democracia-viva.shtml;;;
2ec0a88ada527972297124c7a2515d0800003b3462e79cb280a922fc4c8ce929;Sujeto que intentó atropellar a un carabinero en Viña del Mar es detenido por receptación de vehículo;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2023/07/09/sujeto-que-intento-atropellar-a-un-carabinero-en-vina-del-mar-es-detenido-por-receptacion-de-vehiculo.shtml;;;
51f4bb35a15f52f94408e87219e4af455418c4200004cd9100440f3480391114;Decretan cautelares contra periodista de Mun. de San Antonio acusado de robar auto y conducirlo ebrio;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2023/07/09/decretan-cautelares-contra-periodista-de-mun-de-san-antonio-acusado-de-robar-auto-y-conducirlo-ebrio.shtml;;;
0854c97630e48f8f9ddd59ef6d04a681379e7658785c8d0ba8289844a902827d;La jugada de la gobernadora de Coquimbo que llevó al Tricel a suspender investigación en su contra;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2023/07/09/jugada-gobernadora-de-coquimbo-tricel-investigacion.shtml;;;
be5929efabfae9a4ae69742407e4d1e3cb66c937ac656ca567aa2121bf0142fe;Encuesta Research: un 71% de los consultados cree que Chile es un país corrupto;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/encuesta-research-un-71-de-los-consultados-cree-que-chile-es-un-pais-corrupto.shtml;;;
